gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary,tissue_specificity,housekeeping
PDGFRA,12,A,5,,318.4,YES,60,"IMATINIB, TOVETUMAB, DASATINIB ANHYDROUS","B,C,D","Sunitinib, Crenolanib","oncogene, fusion",2,,"Overexpressed (318 TPM, p99) | Surface protein (HPA) | Druggable (60 drugs) | CIViC (30 items, levels B,C,D) | COSMIC (oncogene, fusion) | 2 recruiting trial(s)",Tissue enhanced,False
IGF1R,11,A,4,,170.0,YES,48,"MECASERMIN, AEW-541, ERLOTINIB","B,D","Gefitinib, IGF1R Monoclonal Antibody",,1,,"Overexpressed (170 TPM, p98) | Surface protein (HPA) | Druggable (48 drugs) | CIViC (3 items, levels B,D) | 1 recruiting trial(s)",Low tissue specificity,False
HLA-DRA,10,A,3,,1534.4,YES,7,"NIVOLUMAB, CLAVULANIC ACID, FLOXACILLIN",B,"Nivolumab, Pembrolizumab, Atezolizumab",,0,,"Overexpressed (1534 TPM, p100) | Surface protein (HPA) | Druggable (7 drugs) | CIViC (1 items, levels B)",Tissue enhanced,False
CSF1R,9,A,4,,188.0,YES,52,"CEDIRANIB, CABIRALIZUMAB, PEXIDARTINIB",,,oncogene,2,,"Overexpressed (188 TPM, p99) | Surface protein (HPA) | Druggable (52 drugs) | COSMIC (oncogene) | 2 recruiting trial(s)",Tissue enhanced,False
PDGFRB,9,A,4,,168.2,YES,78,"IMATINIB, REGORAFENIB, PETROSIOL A",C,Sunitinib,"oncogene, fusion",0,,"Overexpressed (168 TPM, p98) | Surface protein (HPA) | Druggable (78 drugs) | CIViC (1 items, levels C) | COSMIC (oncogene, fusion)",Low tissue specificity,False
PTPRD,9,A,4,,371.7,YES,8,"TRANDOLAPRIL, TEPROTUMUMAB, ANTIHYPERTENSIVE AGENT","C,D","JSI-124, Cixutumumab, Teprotumumab",TSG,0,,"Overexpressed (372 TPM, p100) | Surface protein (HPA) | Druggable (8 drugs) | CIViC (2 items, levels C,D) | COSMIC (TSG)",Tissue enhanced,False
EDNRB,9,A,3,YES,73.1,YES,14,"ENDOTHELIN-1, ENRASENTAN, MACITENTAN",,,,0,,"Mutated (MODERATE) | Overexpressed (73 TPM, p96) | Surface protein (HPA) | Druggable (14 drugs)",Tissue enhanced,False
CDKN2A,8,A,4,,0.5,,28,"RIBOCICLIB, PACLITAXEL, ULIXERTINIB","A,B,C,D","Palbociclib, Alvocidib",TSG,4,YES,"Druggable (28 drugs) | CIViC (27 items, levels A,B,C,D) | COSMIC (TSG) | Known Osteosarcoma driver | 4 recruiting trial(s)",Tissue enhanced,False
CD276,8,A,3,,194.8,YES,5,"ENOBLITUZUMAB, 8H9 131I, OMBURTAMAB I-131",,,,1,,"Overexpressed (195 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs) | 1 recruiting trial(s)",Low tissue specificity,False
CD74,8,A,3,,960.6,YES,5,"DIOA, MILATUZUMAB, VU0240551",,,"oncogene, fusion",0,,"Overexpressed (961 TPM, p100) | Surface protein (HPA) | Druggable (5 drugs) | COSMIC (oncogene, fusion)",Tissue enhanced,False
FAT1,8,A,3,,1268.5,YES,1,CAPECITABINE,,,TSG,0,,"Overexpressed (1268 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs) | COSMIC (TSG)",Tissue enhanced,False
FLNA,8,A,3,,413.0,YES,2,"SIMUFILAM, SIMUFILAM",,,,0,,"Overexpressed (413 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs) | COSMIC (nan)",Tissue enhanced,False
LIFR,8,A,3,,826.8,YES,1,EMFILERMIN,,,fusion,0,,"Overexpressed (827 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs) | COSMIC (fusion)",Low tissue specificity,False
MERTK,8,A,3,,337.0,YES,5,"HESPERADIN, NINGETINIB, TAMNORZATINIB",D,UNC1062,,0,,"Overexpressed (337 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs) | CIViC (1 items, levels D)",Tissue enhanced,False
PTPN13,8,A,3,,207.1,YES,1,ANTIESTROGEN,,,TSG,0,,"Overexpressed (207 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs) | COSMIC (TSG)",Tissue enhanced,False
SUCO,8,B,2,YES,122.5,YES,0,,,,,0,,"Mutated (HIGH) | Overexpressed (122 TPM, p98) | Surface protein (HPA)",Tissue enhanced,False
MYC,7,A,4,,89.5,,70,"UBENIMEX, DIETHYLSTILBESTROL, METHYLPREDNISOLONE",D,"Prexasertib, Olaparib, Cisplatin, JQ-1","oncogene, fusion",0,YES,"Overexpressed (90 TPM, p97) | Druggable (70 drugs) | CIViC (2 items, levels D) | COSMIC (oncogene, fusion) | Known Osteosarcoma driver",Tissue enhanced,False
ADAM17,7,B,2,,181.7,YES,5,"APRATASTAT, MARIMASTAT, INFLIXIMAB",,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA) | Druggable (5 drugs)",Low tissue specificity,False
ANXA1,7,B,2,,348.8,YES,44,"METHYLPREDNISOLONE, EFWSLAAPQRF-NH2, BIBP3226",,,,0,,"Overexpressed (349 TPM, p100) | Surface protein (HPA) | Druggable (44 drugs)",Tissue enhanced,False
APOD,7,B,2,,183.8,YES,8,"RWJ-56110, F16357, TFLLR-NH2",,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA) | Druggable (8 drugs)",Tissue enhanced,False
ARID5B,7,B,2,,268.9,YES,3,"HALOPERIDOL DECANOATE, GLUCARPIDASE, IMATINIB",,,,0,,"Overexpressed (269 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)",Tissue enhanced,False
ASPH,7,B,2,,196.9,YES,21,"WARFARIN, LY404187, [3H]AMPA",,,,0,,"Overexpressed (197 TPM, p99) | Surface protein (HPA) | Druggable (21 drugs)",Tissue enhanced,False
ATP2B1,7,B,2,,601.5,YES,32,"METHYLPREDNISOLONE, CHLORPROMAZINE, DAIDZEIN",,,,0,,"Overexpressed (602 TPM, p100) | Surface protein (HPA) | Druggable (32 drugs)",Tissue enhanced,False
